,TEAM_CODE,NUM,2020_GDP,2021_GDP
0,ARG,17,8585.69474249794,10729.2325777217
1,BEL,13,45189.3669003126,51767.7885723646
2,BOL,3,3137.98961744018,3414.89284856087
3,BRA,21,6814.87563196772,7518.83428432838
4,CHL,9,13220.5707580419,16502.8385709035
5,FRA,15,39037.1226309074,43518.5385130851
6,MEX,16,8431.66501744762,9926.42276755436
7,PRY,8,4967.68721171529,5400.10382635384
8,PER,5,6117.49357129272,6692.24837450351
9,ROU,7,12956.5662477568,14861.9091737933
10,USA,10,63027.6795267153,69287.5365879523
11,URY,13,15418.8153089096,17020.6486362969
12,YUG,9,0.0,0.0
13,AUT,7,48588.6593847921,53267.9327491132
14,CSK,8,0.0,0.0
15,EGY,3,3569.20684121108,3876.35959373349
16,DEU,19,46252.6893044892,50801.7867105308
17,HUN,9,16075.9732662505,18772.6732920667
18,ITA,18,31834.9726184046,35551.2849900071
19,NLD,10,52396.0322099525,58061.0016679359
20,ESP,15,27056.4217512166,30115.7058866792
21,SWE,12,52300.2061994993,60238.9865644922
22,CHE,11,87100.4148213751,93457.4403976155
23,CUB,1,9477.85287326771,
24,IDN,1,3870.55761979249,4291.81255449121
25,NOR,3,67329.6777910967,89202.7505381438
26,POL,8,15742.4537256368,17840.9210506674
27,GBR,15,41098.0786527828,47334.3553149875
28,SCO,8,0.0,0.0
29,KOR,10,31597.5046490718,34757.7200705078
30,TUR,2,8536.43331960632,9586.61245005597
31,NIR,3,0.0,0.0
32,SUN,7,0.0,0.0
33,WAL,1,0.0,0.0
34,BGR,7,10079.2033812203,11634.9710182244
35,COL,6,5312.19855554985,6131.22592153117
36,PRK,2,,
37,PRT,7,22194.566114935,24262.1809352574
38,SLV,2,3798.63652082321,4408.52036511467
39,ISR,1,44177.5712248445,51430.0796810561
40,MAR,5,3058.69165039063,3496.75830078125
41,AUS,5,51680.3165229438,59934.1294088895
42,DDR,1,0.0,0.0
43,HTI,1,1272.36799204205,1814.67404841047
44,COD,1,543.950392515803,584.106409215842
45,IRN,5,2756.74997687567,
46,TUN,5,3597.21852540455,3924.34392482058
47,DZA,4,3306.85820838104,3765.03462494702
48,CMR,7,1537.13021832773,1661.70210527032
49,HND,3,2405.73284775141,2831.03302075308
50,KWT,1,24811.7697100231,
51,NZL,2,41596.5055023403,48801.6851279674
52,CAN,1,43258.2638715601,52051.3514647093
53,DNK,5,61063.3164304238,67803.0471046403
54,IRQ,1,4583.7474936713,5048.38781272046
55,CRI,5,12201.9260332666,12508.6156275756
56,IRL,3,85422.5428682266,99152.1025718236
57,ARE,1,36284.5552429552,
58,GRC,3,17647.2326882744,20276.5446744075
59,NGA,6,2097.09247289022,2085.03076477936
60,RUS,4,10161.982421875,12172.78515625
61,SAU,5,20203.6688777651,23585.8856300817
62,HRV,5,14132.4865609499,17398.7659768108
63,JAM,1,4664.53024222133,4586.65050896194
64,JPN,6,39918.1675583443,39285.1631062756
65,ZAF,3,5655.86765390396,6994.21165355675
66,CHN,1,10408.6697561349,12556.3331200058
67,ECU,3,5627.77227986528,5934.87549580808
68,SEN,2,1462.80816888438,1606.47206087311
69,SVN,2,25489.5002284083,29200.8198783863
70,AGO,1,1631.43169087951,2137.90939339084
71,CZE,1,22933.4995909236,26378.4999575477
72,GHA,3,2254.15388897604,2445.29074932761
73,CIV,3,2325.72370502247,2578.76041204832
74,SCG,1,0.0,0.0
75,TGO,1,914.950792453214,992.328429362491
76,TTO,1,15285.9404867715,15243.1228674692
77,UKR,1,3751.74072265625,4835.57177734375
78,SRB,2,7730.69174637698,9214.99354640982
79,SVK,1,19266.5135736247,21087.8461010057
80,BIH,1,6082.36673041923,6916.43831507661
81,ISL,1,59264.0340913145,68383.7653362902
82,PAN,1,12509.8352912602,14516.45804724
